DATE,TEAM,OPPONENT,NAME,POSITION,MINUTES,POINTS,REBOUNDS,ASSISTS,PTS+REB+AST,STEALS,BLOCKS,TURNOVERS,FOULS,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,FANTASY,STARTER?,HOME?,WIN?,game_id
04/14/24,ATL,IND,Bogdan Bogdanovic,SF,27,18,4,1,23,2,0,0,2,6,15,3,8,3,3,1,3,30.3,False,False,False,ind20240414
04/14/24,ATL,IND,De'Andre Hunter,PF,26,6,2,1,9,0,0,1,1,0,6,0,2,6,6,0,2,8.9,False,False,False,ind20240414
04/14/24,ATL,IND,Mouhamed Gueye,PF,26,19,9,0,28,2,3,0,4,6,11,2,3,5,6,4,5,44.8,False,False,False,ind20240414
04/14/24,ATL,IND,Garrison Mathews,SG,21,6,0,0,6,1,1,0,0,2,5,2,5,0,0,0,0,12.0,False,False,False,ind20240414
04/14/24,ATL,IND,Bruno Fernando,C,21,12,2,1,15,0,0,1,2,3,5,0,0,6,6,0,2,14.9,False,False,False,ind20240414
04/14/24,ATL,IND,Vit Krejci,PG,21,0,5,5,10,0,0,1,1,0,2,0,2,0,0,2,3,12.5,False,False,False,ind20240414
04/14/24,ATL,IND,AJ Griffin,SF,19,8,0,0,8,0,1,1,0,4,14,0,5,0,0,0,0,10.0,False,False,False,ind20240414
04/14/24,ATL,IND,Trent Forrest,SG,6,0,3,2,5,0,0,0,0,0,0,0,0,0,0,0,3,6.6,False,False,False,ind20240414
04/14/24,ATL,IND,Kobe Bufkin,SG,6,2,1,0,3,0,0,0,0,1,3,0,1,0,0,0,1,3.2,False,False,False,ind20240414
04/14/24,LAC,HOU,Xavier Moon,PG,46,14,6,6,26,2,1,0,2,6,22,2,9,0,0,2,4,39.2,False,True,False,lac20240414
04/14/24,LAC,HOU,Kobe Brown,PF,38,9,6,4,19,2,2,0,3,4,10,1,3,0,0,3,3,34.2,False,True,False,lac20240414
04/14/24,LAC,HOU,Amir Coffey,SF,36,18,3,2,23,1,1,1,0,7,17,0,7,4,4,0,3,29.6,False,True,False,lac20240414
04/14/24,LAC,HOU,Brandon Boston,SF,30,15,6,3,24,4,0,6,3,5,16,2,6,3,4,2,4,32.7,False,True,False,lac20240414
04/14/24,LAC,HOU,Daniel Theis,C,28,16,11,2,29,2,2,1,2,6,12,2,6,2,2,3,8,43.2,False,True,False,lac20240414
04/14/24,LAC,HOU,Terance Mann,SG,27,24,6,2,32,1,0,1,1,10,14,1,3,3,3,2,4,36.2,False,True,False,lac20240414
04/14/24,LAC,HOU,Mason Plumlee,C,23,9,13,4,26,1,2,3,3,3,13,0,3,3,4,4,9,36.6,False,True,False,lac20240414
04/14/24,LAC,HOU,P.J. Tucker,PF,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,False,True,False,lac20240414
04/14/24,HOU,LAC,Amen Thompson,SF,39,18,11,10,39,3,3,3,5,8,9,0,0,2,3,5,6,61.2,False,False,True,lac20240414
04/14/24,HOU,LAC,Cam Whitmore,PG,35,21,6,5,32,0,1,1,1,9,17,2,6,1,3,3,3,37.7,False,False,True,lac20240414
04/14/24,HOU,LAC,Jabari Smith,PF,32,15,8,3,26,0,0,0,1,6,19,2,10,1,2,2,6,29.1,False,False,True,lac20240414
04/14/24,HOU,LAC,Jalen Green,SG,22,13,6,3,22,0,0,1,0,5,14,3,10,0,0,1,5,23.7,False,False,True,lac20240414
04/14/24,HOU,LAC,Jock Landale,C,21,5,4,2,11,1,0,4,0,2,7,1,3,0,0,3,1,11.8,False,False,True,lac20240414
